,income
16322,1
32516,1
40966,1
31093,0
9590,1
26930,0
9977,1
2725,0
35978,1
37100,0
24161,1
40866,0
8603,1
37988,0
26771,1
19027,0
7054,1
44398,0
48070,1
44940,1
23982,0
45599,1
4121,0
44136,1
33026,1
33517,1
5539,1
6733,1
39111,1
24007,0
35529,1
15165,0
47669,0
6636,1
9218,0
19611,1
15958,1
19922,1
28493,1
35637,1
16347,1
10431,0
26059,1
11507,1
29989,0
20620,1
12731,1
30557,1
34499,1
25491,0
31902,1
32369,1
41238,1
981,1
29792,1
43138,1
940,1
23457,1
48421,1
41634,1
11376,1
40576,1
48017,1
45015,1
34323,1
31594,1
38932,0
34914,1
21006,1
28284,1
45388,1
23862,1
12729,1
26309,1
24754,1
25509,0
45792,0
48730,1
28626,0
4084,1
33414,1
23640,1
4713,1
14569,1
42713,0
21384,1
15435,0
26661,1
24865,1
6750,1
10737,0
3916,1
19693,1
8022,1
16812,1
40039,1
18311,0
4577,1
32001,0
33979,1
20674,1
7625,1
17808,1
5997,0
42205,1
7675,1
30632,0
23243,1
25600,1
11867,1
2246,1
10102,0
27976,0
18257,1
44727,0
9377,1
9663,0
10903,1
36563,1
32980,1
15896,1
35007,1
2830,1
26335,1
1570,1
301,1
48429,1
38230,1
6135,0
31737,1
36615,1
19409,1
41471,1
9523,0
48501,1
8545,1
12662,1
28177,1
46639,1
19535,1
41244,0
11311,1
32044,1
33987,1
39295,1
21323,1
11403,1
21257,1
37643,0
2390,0
1103,1
5241,1
17169,1
45673,1
23744,1
36815,1
5212,1
5855,1
1823,1
22037,1
47408,1
20696,1
14409,1
14175,1
30060,1
10116,1
28054,0
19112,1
24125,0
24742,0
44120,1
32866,1
16512,1
15394,0
2825,1
27763,1
13469,1
36913,1
26612,1
20767,1
13182,1
29725,1
46759,1
9194,0
21146,0
2410,1
7998,0
25136,1
16784,1
12465,1
17045,1
30269,1
14157,1
14885,1
42312,0
18362,1
31552,1
27268,1
12510,1
24513,1
47149,1
30722,0
17675,0
2680,1
42148,1
3620,1
16921,1
47851,1
35917,1
11940,1
15879,1
2399,1
32915,0
18741,1
17351,0
38588,1
39403,1
31846,1
10231,1
34779,0
13096,1
21663,1
47531,1
16744,1
11346,1
40052,1
30703,1
34448,1
4361,1
29134,1
33344,1
17750,1
29774,0
32555,1
14381,1
32653,0
46498,1
14197,0
25390,1
43608,1
48086,1
44987,1
20440,1
10199,0
3396,1
34859,0
9550,1
10233,1
12470,1
9346,1
7337,0
22388,0
29589,1
1580,0
13598,0
32342,1
6004,0
25420,1
25488,1
17052,0
44128,1
2636,1
45251,1
16211,1
18214,0
44803,1
29833,1
15881,1
6116,0
27504,1
20815,1
44141,1
23072,1
44480,1
14284,1
23092,1
36719,1
30571,0
42082,0
21897,1
3860,0
4898,0
12812,1
9391,1
27140,0
19634,1
22908,1
9630,1
20715,1
42190,1
4097,0
13292,0
16731,1
4294,1
42619,0
7323,1
28892,1
10433,1
9329,0
23887,1
17555,1
47291,1
48599,1
4428,1
27949,1
5509,1
39493,1
4271,0
26941,1
40656,1
8047,0
22173,1
20988,1
21561,1
4210,0
19931,0
2912,1
21811,1
12033,1
16688,1
42003,0
41097,1
4644,1
9541,1
9424,1
5531,1
4990,1
20364,1
1824,0
25406,1
30080,1
17060,1
43257,1
15067,1
34316,1
31541,1
23702,1
38788,1
22413,1
23210,1
5066,1
11620,1
29704,1
1491,1
30190,1
44313,1
23542,1
25627,0
12061,1
41301,0
12244,1
28553,0
5068,1
8455,1
24994,1
1526,1
34664,1
23262,0
6499,0
35058,1
10727,0
36417,1
8539,1
10886,1
4424,1
32744,1
47610,0
33063,1
22780,0
47075,1
38654,1
7026,1
30641,1
519,0
34549,1
45976,1
40209,1
31155,1
42414,1
27625,1
24349,1
84,0
33398,1
28189,1
6457,0
1963,0
20608,1
11373,0
24883,1
17905,1
1101,0
44126,1
24607,1
28067,1
14227,1
37935,0
15305,1
43688,1
27822,1
2148,1
19546,1
35828,1
5401,1
6021,1
11568,1
37365,0
23577,1
43754,1
15,1
12196,1
46095,1
37346,1
15757,0
5311,0
30032,1
11223,1
4208,0
7859,1
6124,0
39305,1
5395,1
3479,1
17906,1
2067,1
40424,1
21551,0
14498,1
45593,1
38018,1
9761,0
36646,0
43862,0
41530,1
39803,1
10355,0
16747,0
9677,1
42278,1
8212,1
19361,1
27340,1
778,0
15152,1
43408,1
21670,1
2846,1
34314,1
43583,1
17897,1
40,1
32266,0
22402,0
23561,1
15062,1
31540,1
26325,1
36031,1
6074,1
7385,0
3487,1
25705,1
3702,1
703,1
19143,0
23240,1
13982,0
25261,0
10547,1
42322,1
9867,0
2786,1
38533,1
42806,1
20639,0
5234,1
17629,1
42417,1
17463,0
17904,1
28830,0
25835,1
27845,1
11508,1
41724,1
26024,1
37225,1
36464,1
36355,1
35084,1
35082,1
15064,1
36511,1
16597,0
41700,1
31961,1
9570,1
18187,1
5185,1
18042,0
45035,0
12200,1
42364,1
7078,1
35858,1
14615,1
14073,1
43017,1
35027,0
6332,0
12216,0
32903,1
4701,1
18203,0
9987,1
10365,0
512,1
38224,0
14335,1
36224,0
43007,0
47459,1
1679,1
11856,0
34560,1
15960,1
1958,1
9025,1
15374,1
41458,1
22166,1
13679,1
27978,0
23950,1
43289,1
29370,1
47335,0
6673,1
26894,1
17671,0
27444,1
36889,1
13164,1
8947,1
1869,0
15185,1
40064,1
47637,1
27694,1
14805,1
35599,1
27806,1
21961,1
14451,1
11725,0
9597,1
9891,1
41003,1
15684,1
5630,1
36666,1
449,1
30230,1
18359,1
1112,1
2371,1
44146,1
48777,1
11216,1
38020,1
42005,1
28602,1
13904,1
30011,0
13308,0
39805,1
35759,1
3623,1
40516,0
46461,1
14293,1
27045,1
32809,0
20441,0
17866,1
47856,1
40923,1
2835,1
16598,1
12841,1
14584,0
27262,1
21141,1
40742,1
36752,1
28188,1
26527,1
23517,1
42913,1
34677,1
16836,1
22408,1
32536,0
32837,1
24172,1
22126,1
5249,1
21128,0
11043,1
26310,1
35408,1
42988,1
4383,1
37829,0
25125,1
36117,1
203,1
42085,0
26240,1
26057,1
37766,0
34262,1
27527,0
1631,1
952,1
11278,1
26187,1
47134,1
18463,0
34471,0
17788,1
26972,1
34824,1
38582,1
38590,1
21963,1
1038,1
4087,0
22946,1
6632,1
45014,0
42333,0
47135,1
47921,1
31631,1
10654,1
31495,1
32510,0
46662,0
28947,1
13202,0
41902,0
18943,0
38768,1
25794,0
12834,1
25708,0
5123,1
35307,1
13534,0
38247,1
3123,1
38235,0
2955,1
40055,1
35072,1
38690,1
23645,1
43352,1
46710,0
27981,1
20498,1
11409,0
28160,0
17018,0
33191,1
47362,0
36085,1
43940,1
16721,0
27330,1
6427,1
14712,1
24644,1
22953,0
18044,0
6657,1
31618,0
29637,1
40665,1
9267,1
23004,1
1378,0
35609,1
15386,1
19404,1
18778,0
39268,1
41490,1
15599,1
33037,1
43731,1
21646,1
18473,0
5338,1
45169,0
43051,0
19868,1
17384,1
26228,1
32624,1
15001,0
8393,0
17051,0
17005,1
35566,1
36680,1
18888,0
27064,1
32106,1
44676,1
34984,0
11182,1
17716,1
2601,1
30069,1
3645,1
42061,1
20980,0
1178,1
586,1
37982,0
12319,1
24597,0
42702,1
1767,1
27017,1
18592,1
12522,0
2063,0
12285,1
26679,1
27874,1
14995,1
2756,0
6092,1
20182,1
48542,1
29108,1
25789,0
27429,1
10099,0
22271,1
32670,1
37679,0
43001,1
48280,0
32316,1
4317,1
39156,1
48703,1
33261,1
17760,0
21375,0
31526,1
7925,1
13900,1
9992,1
13119,1
39143,1
44427,1
22627,1
40188,1
12790,0
6330,0
41465,1
14083,0
38942,1
4197,1
777,1
40085,1
8583,1
18095,1
33352,1
38283,0
36234,1
12430,1
45612,1
31951,1
534,0
21533,1
21580,1
41880,1
22468,1
39831,1
25823,1
16718,1
31296,1
17703,1
13870,1
33170,1
18418,0
46282,0
23136,1
32315,1
27141,1
13556,1
47140,1
25735,1
43705,0
44531,1
24595,1
48307,1
43186,0
41193,1
33552,1
12870,1
9544,1
35861,0
46754,0
40165,1
21864,1
25601,0
38219,1
35961,1
24232,1
27828,1
41279,1
11698,1
43109,1
19964,0
20841,1
23804,1
2776,1
13823,1
12030,0
11137,1
41101,1
36981,1
16344,1
44969,1
16528,1
30158,1
30963,1
6184,0
28928,0
7007,1
28817,0
22506,0
2569,0
12273,1
47336,1
41422,0
25288,0
43831,0
7814,1
6134,1
16368,1
5988,1
38683,1
46133,1
38032,0
37555,0
6107,1
11455,1
24263,1
32782,1
7436,1
14742,1
37870,1
21015,0
18453,1
17535,1
30693,1
8279,0
22412,1
7352,1
36334,1
20385,1
14785,1
17139,1
29673,1
16845,1
45228,0
21484,1
35606,0
14782,1
30180,1
32135,0
17026,1
34449,1
28028,1
4820,1
1847,1
21718,1
27492,1
30946,1
42182,1
35508,0
17245,0
24929,1
30882,1
21503,1
23791,1
46278,0
793,1
11100,0
1484,0
20472,1
20048,1
20156,1
13227,1
13386,1
27779,1
3089,0
41260,0
45188,1
16122,1
22601,1
42767,1
1149,0
5187,1
15269,1
19457,1
37221,1
43175,1
48084,1
46625,1
48627,0
9460,1
22868,0
7465,0
17839,1
31685,1
47286,1
19980,1
5284,1
4357,1
6637,0
37545,1
25655,1
21483,1
32615,1
2265,0
38536,0
7414,1
33953,1
39210,1
37302,1
25698,0
16291,1
20312,1
14315,1
6720,1
47146,1
15801,1
44257,1
40143,0
38653,1
9116,1
2192,1
23356,1
31578,0
2055,1
37525,1
46398,1
3883,1
44059,1
42582,1
15054,1
27897,0
27055,1
37352,0
48417,1
15616,1
3223,1
15351,1
44190,0
7135,1
15815,1
16523,0
38304,1
4574,1
26591,0
36991,1
5246,1
46524,1
7428,1
20710,1
30869,0
48004,1
5181,1
834,1
8812,1
11406,1
29901,0
17704,1
37889,0
43551,1
26173,0
11117,1
47998,1
24722,0
13304,0
14938,0
745,0
38546,1
8282,1
22857,1
15614,1
48032,1
27602,0
31640,1
10671,1
41909,1
11542,1
977,0
32403,1
41715,0
515,1
3961,1
10049,1
33379,1
46103,1
7500,1
20727,1
42924,1
24487,1
37061,1
5789,1
37994,1
40695,1
1896,1
48481,1
8180,1
31987,1
10546,1
20149,1
13548,1
33994,1
36593,1
13108,1
264,1
1864,0
24548,1
16404,0
12702,1
11153,0
3524,1
4770,1
3212,0
35477,0
1336,1
19297,1
21305,1
25761,1
23870,1
13892,0
12412,0
3276,1
15468,1
2701,1
24844,1
21078,1
41843,1
25584,1
18365,1
19348,0
31520,1
36804,1
2658,1
37062,1
11003,0
28546,1
5541,1
25721,1
44253,1
14297,1
23238,1
28446,0
13949,0
36141,1
38386,1
35661,0
25883,1
11957,0
23788,1
6474,1
46562,1
10098,1
11590,1
41573,0
3154,0
38696,1
46042,0
26342,1
8915,1
24659,0
29843,0
5725,1
8554,0
38677,1
33702,0
36082,1
40443,1
6121,0
47117,0
18482,0
13265,0
34375,0
2030,0
39088,1
35104,0
32680,0
23641,0
3197,1
2713,0
41182,1
678,1
41077,0
179,1
27718,1
39852,1
42048,0
44379,1
20544,1
34326,0
10752,0
32069,1
46895,1
38087,1
9822,0
35220,1
39655,1
7852,1
34990,0
14758,1
10207,1
22059,1
7725,1
46591,1
27792,1
15956,0
860,1
12237,1
16677,1
6530,0
12839,0
35414,1
32143,1
23195,1
17334,1
28704,0
6739,1
7702,1
8336,1
43914,0
36191,0
24176,1
39838,1
14379,1
32721,1
39340,1
20972,1
25065,0
41379,1
27235,0
35736,1
44281,1
23359,1
32035,1
15535,1
21140,1
32746,1
43896,0
10428,1
27221,0
43458,1
39335,0
27888,1
16152,0
5157,1
16231,1
36644,1
7449,1
13628,1
46666,1
25653,1
38180,1
25373,1
37267,1
31029,1
17401,1
15854,1
30606,0
14150,1
26171,1
38347,1
9451,1
27861,0
36727,0
44891,1
18244,1
17835,1
32780,1
1740,0
5676,1
18059,1
34834,1
40813,0
8020,1
6251,1
35417,1
47275,1
20317,1
20412,1
43395,1
46190,1
2774,0
1187,1
42688,0
43292,1
22673,1
31244,0
39480,1
3292,0
27956,1
32407,1
29267,1
24243,1
35658,0
28975,1
40036,1
44438,0
1743,1
38719,1
39171,1
48641,1
36743,1
9157,1
40291,0
733,1
11298,1
38461,1
25710,1
40619,1
28074,1
28295,1
46569,1
5734,1
44208,0
4312,0
12013,1
43382,1
2400,1
19159,1
2539,1
20805,1
45271,1
25428,1
5638,1
31559,0
31789,1
16838,1
24979,1
7396,1
24561,1
3024,1
33668,1
25924,1
33520,1
37533,1
35044,0
19176,1
40544,1
2946,1
7987,1
26328,1
466,1
30434,1
24618,1
45779,0
35694,1
35218,1
32292,0
47433,1
33643,0
7975,0
12789,1
45855,1
27906,0
29376,1
13550,1
21018,1
3481,1
14540,1
23025,1
43864,0
48091,1
15839,0
38997,1
13474,1
39885,1
13455,0
7494,0
40803,1
16006,1
22315,1
19626,1
17577,0
6874,1
3644,1
40503,1
19042,1
1516,0
8021,0
16435,1
12137,1
48377,1
8659,1
1445,1
44608,1
38055,0
5327,0
32061,1
5957,1
25247,1
44781,1
38112,1
25013,1
45740,1
5885,1
30916,1
27767,1
1809,1
14519,1
24429,1
31551,1
43099,0
8911,1
16307,1
40151,1
27757,0
27824,1
17004,1
13260,0
29630,1
29474,1
47645,1
24874,0
32590,1
20567,1
4196,1
34260,0
41033,1
3671,1
42992,1
45960,1
46402,1
16042,1
1007,0
8074,0
4544,1
11142,1
28775,1
19831,1
47965,1
46164,1
20793,1
26184,1
12458,1
10611,1
17331,0
14204,0
3219,1
4363,1
24337,1
12641,1
57,1
32236,0
9408,1
9085,1
41132,0
6975,1
6487,0
46249,1
10571,1
29542,1
18467,1
23840,0
653,1
43134,0
5790,1
7157,1
5958,1
39436,1
45801,1
46551,0
37039,0
3753,1
24017,1
19028,0
47008,0
11416,0
41185,1
48176,1
15929,1
30028,1
38812,1
12833,1
44322,1
6892,1
2581,1
42492,1
14058,1
9047,1
1370,1
45476,1
14077,0
7024,1
46201,1
19336,1
17429,0
12858,1
6263,1
12855,1
37202,1
11250,1
44471,1
46640,1
3579,1
19857,1
21036,1
45708,1
15777,0
10609,0
3112,1
29991,1
22121,1
25147,0
22355,1
27073,0
37421,1
2791,1
48466,1
2696,1
10981,1
16771,1
6265,1
40950,1
35621,1
30098,1
2965,0
39452,1
32136,1
12972,1
21404,1
26909,0
23101,0
27119,1
28603,1
29847,0
13313,1
40287,1
27790,1
11055,1
21770,1
33880,1
37736,0
43418,1
38668,1
26505,0
35537,0
37356,1
12782,1
45059,0
1130,1
2467,1
19553,1
7288,1
14855,0
9734,0
23941,1
12710,1
36275,1
4920,1
1788,1
5987,1
4350,1
37917,0
33717,1
11604,0
47416,1
24504,0
10273,1
32872,1
3081,1
39654,1
43653,1
16720,1
5882,0
10488,1
37429,0
37604,1
10487,0
44107,1
45043,1
7342,0
20308,1
31584,1
35484,1
45052,1
35182,0
46654,0
8822,1
35768,1
45958,1
4349,0
10840,1
20792,1
9456,1
33665,1
21464,0
17607,0
25896,1
35415,1
24094,1
34738,1
42016,1
33541,0
41808,1
12094,1
47519,0
2572,1
7956,1
29034,1
42856,1
33927,0
652,0
4877,1
6207,1
46257,1
10860,0
23328,1
14627,1
20408,1
23189,1
44576,1
4260,1
8037,1
43996,1
23570,0
17008,1
47154,1
18897,1
38521,1
47118,1
47548,0
4516,1
33263,0
46184,1
22283,1
38929,1
28491,1
30314,1
32340,1
41110,0
34327,1
27238,1
5620,0
14562,0
7287,0
2778,1
20653,1
48346,0
3709,1
24392,1
31867,1
46833,1
34763,0
30191,1
25617,1
24375,1
41979,0
28788,0
25235,1
44652,1
32583,1
48746,0
35421,0
2948,0
16572,1
2376,1
21666,1
8655,1
27528,1
15660,0
32622,1
22828,1
5450,1
23202,1
19604,1
41937,1
24063,0
3534,1
8775,1
28547,1
19055,1
1988,1
11652,0
192,1
23415,1
25851,0
16788,0
27420,1
5449,1
34989,1
10368,0
9488,1
10159,0
25911,0
26095,1
14458,1
47802,1
43236,0
12393,1
36714,1
41978,1
3681,1
41806,0
38629,1
13521,0
8330,1
35589,1
21978,0
37332,1
46719,1
47131,1
24249,1
6023,1
19415,1
30631,1
18583,1
48018,0
41267,1
7308,1
38392,0
33877,1
13787,0
31627,1
18408,0
24342,1
6051,1
1282,0
37262,0
21651,1
9855,0
43068,1
25140,1
28435,1
24862,1
15077,0
36466,1
47284,1
20877,1
10203,0
11397,1
45409,1
7309,0
7871,1
36101,1
29670,1
40168,1
3368,0
1386,1
37386,1
22390,0
19703,1
11141,1
25807,1
6800,1
44915,0
16421,1
42588,0
17088,0
4253,1
30747,1
44648,1
6068,1
1205,0
25949,1
45306,1
17394,1
35752,0
7930,1
4034,1
46826,1
24175,1
38279,1
34266,0
13675,0
26103,1
15510,1
48433,1
38286,1
20719,1
9205,0
20716,1
34217,0
15964,1
14001,0
39448,0
42031,0
25092,1
20795,0
43729,1
36307,1
30026,1
23433,1
18459,0
2787,1
31248,1
47831,1
6250,0
11932,1
32838,1
4009,1
4498,1
2988,1
13911,1
6812,1
20584,1
23224,0
6219,1
8183,1
45319,1
15677,1
14457,1
41310,1
1027,0
3430,0
9230,1
26440,0
30874,1
31453,0
4342,1
2304,0
6392,0
32344,1
16799,1
30489,1
29458,1
33612,0
25900,1
48536,1
13423,1
581,0
2468,1
34495,1
31501,1
43371,1
14997,0
33387,1
28646,1
24124,1
9154,1
12011,1
28014,1
23606,1
38774,1
1517,1
46565,0
26141,1
25939,1
37527,1
31874,1
47815,1
6836,1
12048,1
36132,1
44904,1
31143,1
34791,1
39785,1
18195,1
21748,1
44796,1
32327,1
33071,1
12536,1
13391,1
11126,0
13126,1
43494,1
260,1
38118,0
31204,0
12299,0
3651,0
21516,1
48700,1
28427,1
7661,1
44868,1
40327,1
3299,1
45632,1
45434,1
6587,1
19286,1
3161,1
41147,1
6548,0
5968,0
34360,1
2536,1
30649,0
15644,0
43268,0
12652,1
6295,0
300,0
27518,0
1639,0
30794,1
33883,1
45096,0
23177,0
23287,1
22583,1
28913,1
41712,1
25184,1
22382,1
17781,1
5635,1
20294,1
3610,1
10324,1
27851,1
36611,1
16792,1
24887,1
23752,0
34124,0
10155,0
46241,0
6555,0
34207,1
26625,1
6560,1
8163,1
5563,1
12293,1
15805,1
19058,1
4503,1
23150,1
10062,0
425,1
19393,1
11124,1
28380,1
18062,0
31944,1
17999,1
16399,1
29736,1
22150,1
22176,1
21161,1
9935,1
40252,1
16905,1
35499,1
46408,1
1026,1
15809,0
658,1
22819,1
29722,0
9308,1
39296,1
34576,0
3679,1
7400,1
27217,0
41848,1
1390,1
17551,0
45363,1
28085,0
8892,1
42300,1
34580,1
33744,1
42562,1
36501,1
42094,1
8800,0
40616,1
16310,0
13042,0
14089,1
9146,0
20004,1
381,1
12447,1
31387,0
1185,1
18279,1
22923,1
41984,1
14129,1
26935,1
2431,0
34505,1
23294,1
1948,1
12417,1
10439,1
46983,1
27515,1
8746,0
23829,0
1307,1
3553,1
7676,0
45189,1
16197,1
8268,0
29731,1
3037,1
45566,1
47521,1
40366,0
32462,0
43203,1
41425,1
40368,1
26136,1
45501,1
14799,1
42044,0
26002,1
33088,1
34911,1
2653,1
1836,1
37395,0
9770,1
30348,0
12634,1
18120,1
15579,0
18749,1
9013,0
27967,0
32534,1
33348,0
25667,1
22360,1
28859,1
34191,1
28175,1
37508,1
46216,1
43585,1
41956,0
38061,1
4398,1
12283,1
15922,1
3403,1
26476,0
15744,0
15894,1
20800,0
5281,1
9503,0
41790,1
18827,0
40224,1
43036,1
14691,1
30193,1
38088,1
11349,1
41236,0
38211,1
27646,0
3505,1
9596,1
27293,1
29276,1
9641,1
25991,0
31068,1
38164,1
5866,1
10912,0
2014,1
38011,1
42449,1
34224,1
38818,1
6175,1
44934,1
17973,1
1278,1
43491,0
16654,1
42636,1
29230,0
34599,0
46001,0
23296,1
16591,1
2151,1
47099,1
29907,1
20263,1
34689,1
21086,0
6320,1
29262,1
17811,1
30955,1
611,1
25003,1
5332,1
13011,1
30640,1
38815,1
33706,1
11877,0
29574,1
15387,0
33498,0
18509,1
14343,1
5834,1
10016,1
4996,0
43827,1
10328,1
8874,0
41769,0
35358,1
2045,1
32461,1
44334,1
26531,1
10471,1
47355,1
32294,1
34724,1
11853,0
47058,1
14440,0
225,1
45247,1
19539,1
7878,0
36974,1
37671,1
4286,1
35208,1
34444,1
26523,1
18382,1
38622,0
26227,1
3225,0
40571,0
16898,1
29046,0
30968,1
30908,1
261,1
10630,1
4519,1
24880,1
48576,1
7458,1
17077,0
35810,1
44369,1
32802,1
40775,0
30782,1
21047,1
28964,1
39907,0
44263,0
40487,1
775,1
38832,1
27601,1
45741,1
40568,1
5593,0
4483,1
44861,1
5600,0
12701,1
43898,0
25505,1
25797,1
5875,0
10359,1
34485,0
40024,1
29775,1
33798,0
29776,1
17002,0
19124,1
13270,0
12554,1
42404,1
24021,1
26072,1
31796,1
4728,1
28210,1
2533,1
42463,1
41727,1
24540,1
34417,1
9485,1
25264,1
42640,1
1644,1
36365,1
32474,0
38865,0
12617,1
10490,1
12978,0
34701,1
44872,1
10620,1
36976,1
46163,1
39629,1
12982,0
33370,0
46513,1
37944,1
4408,1
2990,1
13328,1
14986,1
14819,1
4611,1
38346,1
46125,1
7838,1
27816,0
18718,0
5372,1
43328,1
13349,1
20874,1
15357,1
28519,0
8608,1
39024,0
48801,0
4922,1
21062,1
1621,0
6306,1
9529,0
10608,1
31,1
31279,1
15158,1
4205,1
20120,0
45633,0
23077,1
10317,0
43162,0
20592,0
10041,0
3284,1
22573,0
44226,0
34285,1
3735,1
48691,1
5317,1
7576,1
33276,1
37264,1
3078,1
41363,1
5583,1
13773,1
23070,1
13487,1
12220,0
43298,0
6153,1
23975,0
26504,1
22990,1
24765,1
9430,1
40115,1
18759,1
10559,1
15117,0
37341,1
18346,1
26062,1
8368,1
30313,1
19570,1
24184,1
25199,1
475,1
10693,0
20253,1
28187,1
37945,1
10229,1
7116,1
6991,0
44006,1
43056,0
35197,1
14200,1
13179,1
30457,1
24740,1
45824,1
39301,1
12479,0
31396,1
23193,1
3625,1
27182,0
32971,1
31868,1
43314,1
34492,0
45972,1
8721,0
15018,0
29480,1
37007,1
21671,1
16301,0
37757,0
47546,1
41717,1
46745,0
35361,1
19827,1
15887,0
11780,0
14822,0
10807,1
21410,1
34511,0
17358,1
12368,1
47911,0
46370,1
30658,1
480,1
26884,1
46929,0
39302,0
16863,1
32289,1
39626,1
17984,1
32221,0
5765,1
33051,1
9372,0
25997,0
28757,1
39437,1
40029,0
42986,1
32476,1
32792,1
3327,1
7228,1
18192,1
2435,1
31935,1
2354,1
33603,1
35565,1
16112,1
7673,0
34655,1
29620,1
36155,1
40530,1
29904,1
1589,1
10088,1
37448,1
35176,1
30488,1
38390,1
38752,1
36077,1
3845,0
13617,1
2143,1
41523,1
174,0
6970,1
10434,1
40729,0
29285,0
20660,1
6728,0
40079,0
42154,1
34810,1
19203,1
43376,1
38732,1
227,1
40250,1
10200,1
9261,1
2515,1
45203,1
7426,1
3946,1
22161,1
27214,0
14369,1
45180,1
21359,1
6088,1
25175,1
18791,1
1492,0
16343,1
48689,1
42869,1
7961,1
30454,1
12865,1
25080,1
17796,0
24329,0
15718,0
9193,1
24937,0
16488,1
46988,1
43627,1
35329,0
29388,1
3265,0
26503,1
29636,0
46794,1
13739,1
9232,0
46546,1
26850,1
41529,1
33879,1
30600,1
43813,1
18435,1
9009,1
46462,1
35974,1
14510,1
23366,0
12053,1
42938,1
120,1
4166,1
39615,1
27169,0
26391,1
15551,0
12016,0
7263,1
47027,1
5127,1
17022,0
30494,1
9713,0
27916,0
30992,1
40767,1
25666,1
25952,1
12107,1
29721,1
13667,1
12578,1
32261,1
5346,1
6290,1
19084,0
31443,1
39460,1
38494,0
3229,1
5244,1
1419,1
32586,0
34337,1
1759,1
37443,1
16586,1
42514,1
21238,1
22757,1
28936,1
13388,1
28793,1
3063,1
2545,1
19685,1
3590,1
8789,1
45302,1
34535,1
34341,1
2235,1
38036,1
16393,0
17645,1
27761,1
17613,1
849,1
16637,0
30288,1
29714,1
16645,1
37886,0
5533,1
31002,1
25754,1
6348,1
8132,1
24519,1
365,1
28240,1
5695,1
11282,1
44849,1
26361,1
21347,0
10403,1
48013,1
27544,1
14907,1
47678,1
28815,1
41787,1
30163,1
9007,1
31941,1
11975,0
12936,1
7245,1
43086,1
45650,0
37382,1
18638,1
4307,1
8360,0
7540,1
36883,1
43535,0
26399,1
3718,1
13874,0
33472,1
1068,1
29593,0
42707,1
41460,0
1084,1
22491,0
32575,0
14261,1
48015,0
18215,0
34133,1
35972,1
4688,1
40065,1
19061,1
42649,1
28432,1
31047,1
23093,1
3859,1
38132,1
48745,0
35045,1
30422,0
23015,0
15814,1
8018,1
